anchor,entailment,contradiction
一月份跟二月份肯定有一个月份有.,肯定有一个月份有,一月二月都没有
"一点来钟时,张永红却来了",张永红在一点来钟时到了,张永红将近五点才姗姗来迟
"不讲社会效果,信口开河,对任何事情都随意发议论,甚至信谣传谣,以讹传讹,那是会涣散队伍、贻误事业的",信谣传谣会危害社会,信谣传谣团结队伍、促进事业发展
"严师母又哼了一声:你保证你没有别的心,却不能保证旁人没有",严师母怀疑旁人有二心,严师母觉得旁人非常可以信任
"中国人民勤劳智慧,具有无限的创新创造潜能,只要充分释放出来,中国的发展就一定会有更为广阔空间","中国人民不仅勤劳智慧,还具有创新潜能",中国人民不具有创新创造潜能
"事实表明,美国侵犯别国国权威性,遑论侵犯人权了",美国侵犯别国国权威性,美国侵犯别国国权威性这一表述完全是谣言
"他以身殉职,终年59岁",他以身殉职,他死于自杀
"他哥,他哥又有一个孩子啊.",他哥结婚生子了,他哥没有孩子
"他的民意率支持率很低,低到好像悬崖一样,跟蔡英文一样嘛,这样掉下来嘛","他的民意支持率很低,蔡英文的也很低","他的民意支持率非常高,一直在上升"
"但全院医生、护士最先挖掘的不是自己的东西,而是医院的器材和药品",医生、护士最先挖掘的是医院的器材和药品,医生和护士都自私自利
"但是你要是这么写出来,永远就可以炒来炒去",你这样写有利于炒来炒去,你这样写就没法炒来炒去了
"住房,作为有偿使用的商品,就会用经济杠杆,为住房供求、住房分配,建立起一种多住房,多负担的制约机制",住房是一种有偿使用的商品,经济杠杆对住房分配不起作用
共青团员骆五一在地震中失去了儿子,骆五一的儿子经历了地震,骆五一的儿子是地震幸存者
"到1991年末,冀东油田将建成年产100万吨原油生产能力的全部配套工程,可产油60至80万吨",冀东油田九十年代产油量即达到60至80万吨,我国没有油田
"只要外国人看中,你就得搬.",你搬不搬由外国人决定,你搬不搬完全由你自己的意志决定
"台钟滴滴答答走时声中,流言一点一点在滋生",流言滋生需要一定时间,台钟不走了
"各级党组织和工、青、妇组织应当认真学习,坚决贯彻",我国有很多组织,"各级党组织和工、青、妇组织不需要认真学习,坚决贯彻"
"哎呀,累的很呢,就是,你在那边.",说话人觉得“我”在那边很累,说话人根本不想与“我”
"啊,啊,那你去打麻将这些.",有人叫“我”去打麻将,“我”不会打麻将
因为你是要考☺附中☺呀.,“我”被认为是要准备考附中的,没有人认为“我”要考附中
"因为改到第6遍之后,我有点跟他玩游戏,我就是要改稿,要你改,改到你走,他就是不走,26遍都不走",至少改了26遍稿子,稿子只改了6遍
"夫妻一离开就能买两套房也不知道怎么着,这些法律的出台本身就对岌岌可危的制度就产生了一个催化作用",这个法律催化了婚姻制度的解体,夫妻即使离婚也不能多买房
"她眼里的泪滴了下来,多少日的清锅冷灶,今天终于热气腾腾,活过来似的",好久没有生火做饭了,她没有流泪
"它是理不直气不壮,只能背地里窃窃喳喳的那种",有些话没法在明面上说,没有人会在背地里议论
"完善生育配套政策,加强妇幼保健服务",生育配套政策和妇幼保健服务对社会发展起积极作用,生育配套政策和妇幼保健服务尚未建立
实施更大规模的减税,税率不会上升,减税不利于社会发展
"小城镇建设要科学规划,合理布局,注意节约用地和保护生态环境,避免一哄而起",小城镇建设需要经过科学规划和合理布局,小城镇建设可以以破坏生态环境为代价
"就是啊,我就挺担心你们两个的啊.",“我”担心两个人,“我”很放心“你们两个”
就是在日本的华人,有华人在日本,华人在美国
"州立大学,到那读博士去了.",有人到州立大学读博士,州立大学没有博士点
"我们之间在建设社会主义方面有不少经验可以互相交流,互相借鉴",社会主义建设尚未完善,我们之间没有共通之处
所以它很大程度上你可以把它归到偏流行那一类,它偏向流行,它和流行那一类无关
扎实推进乡村建设,推进乡村建设是有利的,乡村发展停滞
"改革开放以来,民族地区经济快速增长,人民生活改善,社会全面进步,为全国的发展作出了贡献",民族地区人民的生活在改革开放后有了极大改善,我国一直没有实行过改革开放政策
"是白痴,是不是,真的是",有人是个白痴,这个人并不是白痴
"最后,王琦瑶说还是到她那里下面吃罢了,程先生却说那就不如去他那里,昨天杭州有人来,带给他腊肉和鸡蛋",王琦瑶和程先生说过话,王琦瑶不认识什么程先生
"治理经济环境和整顿经济秩序,是今明两年我国建设和改革的重点,也是政府工作的重点",我国和政府的工作重点有重合,我国经济环境和经济秩序无需改革
"王琦瑶的脸就像水中的倒影,摇摇曳曳",王琦瑶的脸摇摇曳曳,王琦瑶的脸一点也不像倒影
笔者近日在地铁看到曾是京城最火的《北京青年报·青年周末》已压下4期没有销完,《北京青年报·青年周末》滞销,《北京青年报·青年周末》次次脱销
"继续实施西部大开发战略,认真总结经验,完善政策,落实各项措施,积极有序地推进",西部地区具有巨大潜力,西部大开发战略被终止实施
